epoch,ctr1_loss,ctr2_loss,dec1_loss,dec2_loss,dec3_loss,enc1_binary_accuracy,enc1_loss,enc2_binary_accuracy,enc2_loss,enc3_binary_accuracy,enc3_loss,loss,val_ctr1_loss,val_ctr2_loss,val_dec1_loss,val_dec2_loss,val_dec3_loss,val_enc1_binary_accuracy,val_enc1_loss,val_enc2_binary_accuracy,val_enc2_loss,val_enc3_binary_accuracy,val_enc3_loss,val_loss
0,0.2566049,0.25965646,0.28936765,0.32619178,0.31325197,0.82,0.53137857,0.55,1.0280843,0.62,1.020061,2.012298236489296,0.25207224,0.23378463,0.2311013,0.2353534,0.22460224,0.96,0.3133704,0.64,0.7145145,0.58,0.7109919,1.4578953224420548
1,0.25435832,0.22721985,0.08987318,0.09947219,0.10505444,0.95,0.32836968,0.63,0.65175647,0.64,0.7168566,1.236480268239975,0.25410935,0.22011197,0.07589342,0.08861746,0.07991293,0.85,0.47876748,0.65,0.5871421,0.69,0.55842805,1.1714914149045945
