epoch,ctr1_loss,ctr2_loss,ctr3_loss,dec1_loss,dec2_loss,dec3_loss,enc1_binary_accuracy,enc1_loss,enc2_binary_accuracy,enc2_loss,enc3_binary_accuracy,enc3_loss,loss,val_ctr1_loss,val_ctr2_loss,val_ctr3_loss,val_dec1_loss,val_dec2_loss,val_dec3_loss,val_enc1_binary_accuracy,val_enc1_loss,val_enc2_binary_accuracy,val_enc2_loss,val_enc3_binary_accuracy,val_enc3_loss,val_loss
0,0.2790524959564209,0.2572326362133026,0.0,1.0249428749084473,1.0364340543746948,1.0518927574157715,0.800000011920929,0.727378785610199,0.6324999928474426,0.6599365472793579,0.47749999165534973,0.5861438512802124,2.509744167327881,0.2804587185382843,0.25203603506088257,0.0,0.750487208366394,0.7901502847671509,0.8054828643798828,0.9775000214576721,0.6826474666595459,0.5600000023841858,0.6752921342849731,0.19249999523162842,0.6729971170425415,2.56343150138855
1,0.2657530605792999,0.2550894320011139,0.0,1.0260964632034302,1.0290502309799194,1.0441224575042725,0.9024999737739563,0.5276929140090942,0.6850000023841858,0.5564500093460083,0.4675000011920929,0.5618008375167847,2.16678524017334,0.26991644501686096,0.2551718056201935,0.0,0.9407048225402832,0.9729273915290833,1.014752745628357,0.8974999785423279,0.6151951551437378,0.6399999856948853,0.6435791254043579,0.3499999940395355,0.7073386311531067,2.491201400756836
2,0.23901517689228058,0.25519585609436035,0.0,1.0103670358657837,1.018233060836792,1.0248812437057495,0.9275000095367432,0.3937925696372986,0.6800000071525574,0.5163357257843018,0.42500001192092896,0.5854429006576538,1.9897820949554443,0.24603933095932007,0.2539301812648773,0.0,0.976072371006012,1.0525459051132202,1.1007580757141113,0.7174999713897705,0.6151911616325378,0.6974999904632568,0.662078857421875,0.6800000071525574,0.6364591121673584,2.413698673248291
3,0.24289388954639435,0.2557702660560608,0.0,1.0063199996948242,1.0128192901611328,1.0228523015975952,0.9049999713897705,0.30522266030311584,0.7925000190734863,0.4435270428657532,0.7124999761581421,0.5278273820877075,1.7752407789230347,0.25518354773521423,0.2546862065792084,0.0,0.9423699378967285,0.9792919754981995,1.0390583276748657,0.8899999856948853,0.4131472706794739,0.6924999952316284,0.6126154065132141,0.48500001430511475,0.8351701498031616,2.3708019256591797
4,0.21604245901107788,0.2515149712562561,0.0,0.9979928731918335,1.0051699876785278,1.0146275758743286,0.9524999856948853,0.20603805780410767,0.8525000214576721,0.3546818196773529,0.7674999833106995,0.4519326388835907,1.4802100658416748,0.23363064229488373,0.250618577003479,0.0,0.9568871855735779,1.0095404386520386,1.0518630743026733,0.8700000047683716,0.44655218720436096,0.7049999833106995,0.6058609485626221,0.5724999904632568,0.7168682813644409,2.253530979156494
5,0.22245660424232483,0.2534807026386261,0.0,0.9973386526107788,1.0045331716537476,1.0127726793289185,0.9649999737739563,0.18323563039302826,0.862500011920929,0.32947295904159546,0.7724999785423279,0.4670434296131134,1.4556894302368164,0.2307993769645691,0.25344955921173096,0.0,0.9621322154998779,1.043992280960083,1.0844172239303589,0.7475000023841858,0.880326509475708,0.6899999976158142,0.7501301765441895,0.6549999713897705,0.5255082845687866,2.64021372795105
6,0.2170008271932602,0.2535625100135803,0.0,0.9967401623725891,1.0048655271530151,1.0184687376022339,0.9700000286102295,0.1460023671388626,0.8700000047683716,0.2931281328201294,0.8075000047683716,0.40937817096710205,1.3190717697143555,0.2408658266067505,0.2546272873878479,0.0,0.9547683000564575,0.994398832321167,1.0563712120056152,0.824999988079071,0.6037473678588867,0.7200000286102295,0.6124000549316406,0.6225000023841858,0.5949304103851318,2.3065712451934814
7,0.21461628377437592,0.2542244791984558,0.0,0.9934168457984924,1.0009442567825317,1.0106966495513916,0.9725000262260437,0.12163465470075607,0.8799999952316284,0.28694212436676025,0.8500000238418579,0.38787755370140076,1.2652950286865234,0.23373626172542572,0.25191637873649597,0.0,0.9250178337097168,0.9877986907958984,1.0451750755310059,0.8299999833106995,0.5962695479393005,0.737500011920929,0.5555942058563232,0.6274999976158142,0.5883163213729858,2.2258331775665283
8,0.21046099066734314,0.2528645694255829,0.0,0.9931541681289673,0.9990962147712708,1.012431263923645,0.9700000286102295,0.13019730150699615,0.9325000047683716,0.2223249077796936,0.9125000238418579,0.2760440707206726,1.0918917655944824,0.23997557163238525,0.25347504019737244,0.0,0.9442241787910461,1.0073946714401245,1.053451418876648,0.8174999952316284,0.650320291519165,0.7024999856948853,0.6710017919540405,0.6100000143051147,0.6493443250656128,2.4641170501708984
9,0.21424169838428497,0.25247329473495483,0.0,0.9868620038032532,0.9941312670707703,1.0067431926727295,0.9574999809265137,0.12798625230789185,0.9399999976158142,0.17231351137161255,0.949999988079071,0.1395045816898346,0.9065194129943848,0.2341446727514267,0.25267672538757324,0.0,0.9277984499931335,0.9828407168388367,1.0313440561294556,0.6650000214576721,0.9056897163391113,0.7649999856948853,0.579826831817627,0.8525000214576721,0.3475915789604187,2.319929599761963
10,0.21403320133686066,0.2552001476287842,0.0,0.9890261888504028,0.9959512948989868,1.0033615827560425,0.9700000286102295,0.11404392868280411,0.9474999904632568,0.15122924745082855,0.9725000262260437,0.12731397151947021,0.8618205785751343,0.23946291208267212,0.2527492940425873,0.0,0.9100126028060913,0.9553955793380737,1.002543330192566,0.699999988079071,0.9340393543243408,0.7699999809265137,0.6770826578140259,0.8650000095367432,0.3038941025733948,2.407228946685791
11,0.20653745532035828,0.25332316756248474,0.0,0.991119921207428,0.9966910481452942,1.0056971311569214,0.9750000238418579,0.0763789638876915,0.9750000238418579,0.08841715008020401,0.9775000214576721,0.08695565164089203,0.7116124033927917,0.22537311911582947,0.2510267496109009,0.0,0.9357467889785767,0.99640291929245,1.0433958768844604,0.7649999856948853,0.7594751119613647,0.8374999761581421,0.5400771498680115,0.8675000071525574,0.33303603529930115,2.1089882850646973
